,Taxon, Habitat, Diet, Body Weight, BMR
2,Marmosa microtarsus, Arboreal, Invertebrates,14.5,1.79
9,Phascogale tapoatafa, Arboreal, Invertebrates,157.2,0.81
22,Trichosurus vulpecula, Arboreal, Leaves,1982.0,0.32
23,Cercartetus nanus, Arboreal, Omnivorous,70.0,0.86
24,Petaurus breviceps, Arboreal, Omnivorous,128.0,0.69
25,Pseudocheirus peregrinus, Arboreal, Leaves,860.0,0.33
29,Dendrolagus matshiei, Arboreal, Leaves,6960.0,0.21
30,Phascolarctos cinereus, Arboreal, Leaves,4765.0,0.22
35,Bradypus variagatus, Arboreal, Leaves,3790.0,0.18
36,Choloepus hoffmanrii, Arboreal, Leaves,4250.0,0.19
65,Tupaia glis, Arboreal, Invertebrates,180.0,0.93
66,Urogale everetti, Arboreal, Invertebrates,252.0,0.86
67,Rousettus aegypticus, Arboreal, Fruit,146.0,0.84
68,Pteropus poliocephalus, Arboreal, Fruit,598.0,0.53
69,Pteropus scapulatus, Arboreal, Fruit,362.0,0.67
70,Dobsonia minor, Arboreal, Fruit,87.0,1.26
71,Cynopterus brachyotis, Arboreal, Fruit,37.0,1.27
72,Eonycteris spelaea, Arboreal, Pollen,52.0,0.93
73,Synconycteris australis, Arboreal, Pollen,17.5,1.93
74,Megaloglossus woermanni, Arboreal, Pollen,12.4,1.75
75,Macroderma gigas, Arboreal, Vertebrates,148.0,0.94
76,Noctilio leporinus, Arboreal, Vertebrates,61.0,1.16
77,Noctilio? labialis, Arboreal,,27.0,1.17
78,Tonatia bidens, Arboreal, Invertebrates,27.4,2.1
79,Phyllostomus discolor, Arboreal, Invertebrates,33.5,1.43
80,Phyllostomus hastatus, Arboreal, Invertebrates,84.2,1.19
81,Chrotopterus auritus, Arboreal, Vertebrates,96.0,1.06
82,Glossophaga soricina, Arboreal, Pollen,9.6,2.25
83,Leptonycteris sanborni, Arboreal, Pollen,22.0,2.0
84,Anoura caudifer, Arboreal, Pollen,11.5,3.05
85,Carollia perspecillata, Arboreal, Fruit,14.9,2.11
86,Rhinophylla pumilio, Arboreal, Fruit,9.5,1.71
87,Sturnira lilium, Arboreal, Fruit,21.0,1.79
88,Uroderma bilobatum, Arboreal, Fruit,16.2,1.64
89,Vampyrops Jineatus, Arboreal, Fruit,22.0,1.47
90,Artibeus concolor, Arboreal, Fruit,19.7,1.67
91,Artibeus jamaicensis, Arboreal, Fruit,45.0,1.25
92,Artibeus lituratus, Arboreal, Fruit,70.0,1.21
93,Desmodus rotundus, Arboreal, Blood,29.0,1.18
94,Diaemus youngi, Arboreal, Blood,366.0,1.02
95,Diphylla ecaudata, Arboreal, Blood,278.0,1.39
96,Eumops perotis, Arboreal, Invertebrates,56.0,0.71
97,Molossus molossus, Arboreal, Invertebrates,16.0,1.44
98,Histiotus velatus, Arboreal, Invertebrates,11.2,1.4
99,Lemur fulvus, Arboreal, Leaves,2419.0,0.32
101,Perodicticus potto, Arboreal, Fruit,1000.0,0.36
102,Arctocebus calabarensis, Arboreal, Omnivorous,206.0,0.64
103,Euoticus elegantulus, Arboreal, Omnivorous,262.0,0.82
104,Cebuella pygmaea, Arboreal, Fruit,105.0,0.94
105,Saguinus geoffroyi, Arboreal, Omnivorous,225.0,1.04
106,Aotus trivirgatu, Arboreal, Fruit,991.0,0.45
107,Saimiri sciureus, Arboreal, Fruit,590.0,0.83
108,Macaca mulatta, Arboreal, Fruit,5380.0,0.37
109,Cercocebus torquatus, Arboreal, Fruit,4100.0,0.41
112,Pongo pygmaeus, Arboreal, Fruit,16200.0,0.3
113,Pan troglodytes, Arboreal, Omnivorous,36900.0,0.26
120,Potos flavus, Arboreal, Fruit,2400.0,0.32
131,Nandinia binotata, Arboreal, Omnivorous,4270.0,0.27
132,Arctogalidia trivirgata, Arboreal, Omnivorous,2013.0,0.3
133,Paradoxurus hermaphroditus, Arboreal, Omnivorous,3410.0,0.21
134,Arctictis binturong, Arboreal, Omnivorous,14280.0,0.16
146,Dendrohyrax dorsalis, Arboreal, Leaves,2210.0,0.42
171,Sciurus aberti, Arboreal, Seeds/Nuts,624.0,0.69
172,Tamiasciurus hudsonicus, Arboreal, Seeds/Nuts,224.0,1.09
177,Tamias alpinus, Arboreal, Seeds/Nuts,39.0,1.48
178,Tamias amoenus, Arboreal, Seeds/Nuts,57.0,1.45
179,Tamias striatus, Arboreal, Seeds/Nuts,107.0,1.25
180,Glaucomys volans, Arboreal, Seeds/Nuts,70.0,1.29
191,Heteromys anomalus, Arboreal, Seeds/Nuts,69.0,1.45
247,Cuniculus paca, Arboreal, Fruit,4507.0,0.44
248,Dasyprocta azarea, Arboreal, Seeds/Nuts,3849.0,0.49
249,Dasyprocta leporina, Arboreal, Seeds/Nuts,2687.0,0.58
251,Capromys pilorides, Arboreal, Leaves,2630.0,0.23
253,Proechimys semispinosus, Arboreal, Fruit,498.0,0.63
